[2026-06-13 19:29:27] INFO     | ================================================================================
[2026-06-13 19:29:27] INFO     | 🚀 PyPI Package Update Checker (Multiprocessing Enabled)
[2026-06-13 19:29:27] INFO     | ================================================================================
[2026-06-13 19:29:27] INFO     | 📁 No existing state file. Starting fresh.
[2026-06-13 19:29:36] INFO     | ✓ Found 500 installed packages
[2026-06-13 19:29:36] INFO     | 📊 Status: 0 checked, 500 pending
[2026-06-13 19:29:36] INFO     | 🔄 Spawning 4 workers to query PyPI...
[2026-06-13 19:29:45] DEBUG    | ✓ up-to-date         | accessible-pygments            0.0.5 → 0.0.5
[2026-06-13 19:29:48] DEBUG    | 🔄 upgradable         | fontPens                       0.2.4 → 0.4.0
[2026-06-13 19:29:49] DEBUG    | ✓ up-to-date         | rich                           15.0.0 → 15.0.0
[2026-06-13 19:29:49] DEBUG    | ✓ up-to-date         | addict                         2.4.0 → 2.4.0
[2026-06-13 19:29:51] DEBUG    | 🔄 upgradable         | rich-rst                       1.3.2 → 2.0.1
[2026-06-13 19:30:08] WARNING  | ⚠ Error: multidict - HTTPSConnectionPool(host='pypi.org', port=443): Read timed out.
[2026-06-13 19:30:27] DEBUG    | ✓ up-to-date         | multivolumefile                0.2.3 → 0.2.3
[2026-06-13 19:30:27] DEBUG    | ✓ up-to-date         | fonttools                      4.63.1.dev0 → 4.63.0
[2026-06-13 19:30:29] DEBUG    | ✓ up-to-date         | murmurhash                     1.0.15 → 1.0.15
[2026-06-13 19:30:29] DEBUG    | 🔄 upgradable         | freetype-py                    2.1.0.post1 → 2.5.1
[2026-06-13 19:30:31] DEBUG    | ✓ up-to-date         | ruff                           0.15.17 → 0.15.17
[2026-06-13 19:30:32] DEBUG    | ✓ up-to-date         | frozendict                     2.4.7 → 2.4.7
[2026-06-13 19:30:33] DEBUG    | 🔄 upgradable         | future                         0.18.2 → 1.0.0
[2026-06-13 19:30:33] DEBUG    | ✓ up-to-date         | mypy_extensions                1.1.0 → 1.1.0
[2026-06-13 19:30:34] DEBUG    | ✓ up-to-date         | gast                           0.7.0 → 0.7.0
[2026-06-13 19:30:34] DEBUG    | ✓ up-to-date         | nbclassic                      1.3.3 → 1.3.3
[2026-06-13 19:30:34] DEBUG    | ✓ up-to-date         | runflare                       1.2.0 → 1.2.0
[2026-06-13 19:30:34] DEBUG    | ✓ up-to-date         | ghp-import                     2.1.0 → 2.1.0
[2026-06-13 19:30:35] DEBUG    | ✓ up-to-date         | networkx                       3.6.1 → 3.6.1
[2026-06-13 19:30:36] DEBUG    | ✓ up-to-date         | git-filter-repo                2.47.0 → 2.47.0
[2026-06-13 19:30:36] DEBUG    | ✓ up-to-date         | nibabel                        5.4.2 → 5.4.2
[2026-06-13 19:30:37] DEBUG    | ✓ up-to-date         | git-repo-sync                  0.0.2 → 0.0.2
[2026-06-13 19:30:37] DEBUG    | ✓ up-to-date         | sabctools                      9.4.0 → 9.4.0
[2026-06-13 19:30:37] DEBUG    | ✓ up-to-date         | ninjacli                       0.2.3 → 0.2.3
[2026-06-13 19:30:37] DEBUG    | ✓ up-to-date         | gitdb                          4.0.12 → 4.0.12
[2026-06-13 19:30:38] DEBUG    | ✓ up-to-date         | scikit-build                   0.19.0 → 0.19.0
[2026-06-13 19:30:38] DEBUG    | ✓ up-to-date         | nlptermux                      0.1.0 → 0.1.0
[2026-06-13 19:30:39] DEBUG    | ✓ up-to-date         | GitPython                      3.1.50 → 3.1.50
[2026-06-13 19:30:39] DEBUG    | ✓ up-to-date         | scikit_build_core              0.12.2 → 0.12.2
[2026-06-13 19:30:39] DEBUG    | ✓ up-to-date         | nltk                           3.9.4 → 3.9.4
[2026-06-13 19:30:40] DEBUG    | ✓ up-to-date         | giturlparse                    0.14.0 → 0.14.0
[2026-06-13 19:30:41] DEBUG    | ✓ up-to-date         | nodeenv                        1.10.0 → 1.10.0
[2026-06-13 19:30:42] DEBUG    | ✓ up-to-date         | scikit-image                   0.26.0 → 0.26.0
[2026-06-13 19:30:42] DEBUG    | 🔄 upgradable         | glyphsLib                      0.1.dev1+gb72080f97 → 6.13.1
[2026-06-13 19:30:43] DEBUG    | ✓ up-to-date         | nose                           1.3.7 → 1.3.7
[2026-06-13 19:30:45] DEBUG    | 🔄 upgradable         | google-ai-generativelanguage   0.11.0 → 0.12.0
[2026-06-13 19:30:52] DEBUG    | ✓ up-to-date         | google-api-core                2.31.0 → 2.31.0
[2026-06-13 19:30:59] DEBUG    | 🔄 upgradable         | notebook                       6.5.7 → 7.5.7
[2026-06-13 19:31:01] DEBUG    | ✓ up-to-date         | scipy                          1.17.1 → 1.17.1
[2026-06-13 19:31:01] DEBUG    | ✓ up-to-date         | notebook_shim                  0.2.4 → 0.2.4
[2026-06-13 19:31:02] DEBUG    | ✓ up-to-date         | google-api-python-client       2.197.0 → 2.197.0
[2026-06-13 19:31:03] DEBUG    | ✓ up-to-date         | segtok                         1.5.11 → 1.5.11
[2026-06-13 19:31:03] DEBUG    | 🔄 upgradable         | aiohttp                        3.6.2 → 3.14.1
[2026-06-13 19:31:05] DEBUG    | 🔄 upgradable         | google-auth                    2.53.0 → 2.54.0
[2026-06-13 19:31:09] DEBUG    | ✓ up-to-date         | aiohttp-jinja2                 1.6 → 1.6
[2026-06-13 19:31:09] DEBUG    | 🔄 upgradable         | seledroid                      1.1.0 → 2.0.4
[2026-06-13 19:31:12] DEBUG    | 🔄 upgradable         | numpy                          2.3.5 → 2.4.6
[2026-06-13 19:31:13] DEBUG    | ✓ up-to-date         | aiosqlite                      0.22.1 → 0.22.1
[2026-06-13 19:31:14] DEBUG    | 🔄 upgradable         | google-auth-httplib2           0.3.1 → 0.4.0
[2026-06-13 19:31:15] DEBUG    | ✓ up-to-date         | selenium                       4.44.0 → 4.44.0
[2026-06-13 19:31:15] DEBUG    | ✓ up-to-date         | alive-progress                 3.3.0 → 3.3.0
[2026-06-13 19:31:15] DEBUG    | ✓ up-to-date         | semantic-version               2.10.0 → 2.10.0
[2026-06-13 19:31:16] DEBUG    | ✓ up-to-date         | google-auth-oauthlib           1.4.0 → 1.4.0
[2026-06-13 19:31:16] DEBUG    | ✓ up-to-date         | annotated-types                0.7.0 → 0.7.0
[2026-06-13 19:31:16] DEBUG    | ✓ up-to-date         | google-pasta                   0.2.0 → 0.2.0
[2026-06-13 19:31:17] DEBUG    | ✓ up-to-date         | oauthlib                       3.3.1 → 3.3.1
[2026-06-13 19:31:17] DEBUG    | 🔄 upgradable         | sentence-transformers          5.4.1 → 5.5.1
[2026-06-13 19:31:17] DEBUG    | ✓ up-to-date         | googleapis-common-protos       1.75.0 → 1.75.0
[2026-06-13 19:31:19] DEBUG    | ✓ up-to-date         | anywidget                      0.11.0 → 0.11.0
